,Review Title,sentiment_category
0,Long live the fighters,negative
1,This is what Hollywood needs!,neutral
2,Ladies and gentleman.. the PEAK of filmmaking!!,neutral
3,Arrakis is Real. Believe Me I've Seen It.,neutral
4,"Visual masterpiece, questionable narrative",positive
5,The Sci-Fi/Fantasy Epic of our Generation,neutral
6,WOW! I need Dune Messiah now.,positive
7,Paul Atreides is handled masterfully,neutral
8,"A masterpiece, a pillar of sci-fi/fantasy",positive
9,RIDICULOUS,negative
10,"One Of The Greatest Sequel Ever Made, Dune: Part Two Was Easily The Best Films Of The Year So Far",positive
11,"A movie of epic proportions, everything I'd hoped for.",positive
12,"Beautiful production, less than perfect script",positive
13,The Dark Knight and Empire Strikes Back of our generation...,negative
14,Hard to put into words,negative
15,Incredible Film,neutral
16,Denis Villeneuve is a modern sorcerer in Sci-Fi!,neutral
17,Spectacle,neutral
18,A Masterpiece,positive
19,Absolutely stunning,positive
20,I wish it was better,positive
21,Am I the only one who's not seeing it?,neutral
22,"Enjoyed it, but not blown away",positive
23,A Spectacle Indeed-But Story/Characters Lag Behind Predecessor,negative
24,I have never done this before,neutral
25,It's really good. But not convinced by some of the cast.,negative
26,"Dont believe the hype, but dont believe the hate either...",positive
27,Great adaptian of the first book (but not perfect),positive
28,Too much hype for this overrated sequel,neutral
29,Not as good as part one.,negative
30,Truly a masterpiece,positive
31,"I don't love it, and I wanted to.",negative
32,"Apologies to the cult, it's not for me; Part I was better",positive
33,"People need to calm down, the movie is not that good",neutral
34,Disappointing Compared to Part One,negative
35,Hard Not to Compare it to the Book and Feel Disappointed,negative
36,Visual Effects at its best!,positive
37,Quite the Experience and I say it's better then the first one.,positive
38,"It's Part One once again, only more confused and anticlimactic",negative
39,Denis Villeneuve Promises and Delivers,positive
40,"Strong technically, weak in plot, character and dialogue",positive
41,Dune: Part Two,neutral
42,"Better than the first, even",positive
43,"Great, but not better than Dune part 1.",negative
44,Deviates too far from the source material,neutral
45,Visually stunning but missing the core of the story,negative
46,Enjoyable but not the masterpiece people gush about.,negative
47,"Good, but shallow",positive
48,It has everything you want in a dune sequel,positive
49,I might buy the Dune popcorn bucket...,neutral
50,Masterclass in grand spectacle,positive
51,Denis Villeneuve's Dune: Part Two is as long as it is empty,negative
52,"Visually stunning, but emotionally flat",positive
53,Dune Messiah NOW!!!,neutral
54,Editing is needed,neutral
55,BEYOND,neutral
56,A lively experience,positive
57,A masterpiece in many ways and it's everything you want from a sequel!,positive
58,A Weakly Written Interlude for Dune Part 3.,negative
59,Excellent Visuals but Overly Condensed,positive
60,Why not going with the book?,neutral
61,"It's a cinematographic masterpiece, I hadn't come across a movie that would make me want to watch it over and over again for a long time, until today",positive
62,Star Wars of the 2020's,negative
63,An expanded version with positivities beating its negativities,positive
64,Disappointing :(,negative
65,A really fun and very engaging addition to the Dune series,positive
66,I didn't like it very much,negative
67,Spectacular Movie...The Story on the Other Hand...,neutral
68,Long awaited,neutral
69,HELL YEAH,negative
70,Very Spicey!,neutral
71,Snooze fest,neutral
72,"A Tale of Hope, A Twist in Tragedy",negative
73,I wish it was a good as Part 1,positive
74,Masterpiece!!!!!!! Setting the benchmark for all upcoming sci-fi movies...,neutral
75,Epic and powerful (but not perfect) cinematic masterpiece,negative
76,A profound experience,neutral
77,Show me who you are,neutral
78,Deeply disappointing,negative
79,Deviates too much from the book,neutral
80,Good...but,neutral
81,Extremely Lackluster,neutral
82,"Dark & Brooding, Read The Books First!",positive
83,Sci-fi masterpiece,positive
84,An overrated issue,neutral
85,With Power and Prophecy Comes Dune Part 2,neutral
86,Dune Part Two is a remarkable addition to the science fiction genre and a must-see epic,positive
87,next year's Best Picture winner,positive
88,DUNE 2 is ðŸ”¥ðŸ”¥ Denis Villeneuve did it again. Must Watch !!!,neutral
89,Things actually happen in this one!,neutral
90,"Real Modern Classic, Thank You Denis.",positive
91,I was reminded what movies are,neutral
92,The Sands of Dune Would Have Blown Frank Herbert Away,neutral
93,Masterpiece,positive
94,"Use the restroom before, you don't want to miss a moment!",positive
95,GOD TIER CINEMA!!!!!,positive
96,A Sci-Fi Classic !,neutral
97,Good Enough,positive
98,Cinematic Masterpiece,positive
99,This is what cinemas were made for,neutral
100,Sci-Fi Lord of the Rings Equivalent,neutral
101,Overrated,neutral
102,"Stylish and loud, but very little substance",neutral
103,Spectacular imagery but......,neutral
104,Perfect second episode,positive
105,LONG LIVE THE FIGHTERS,negative
106,I have never seen a movie like it.,negative
107,An epic second chapter that delivers a true cinematic experience.,positive
108,"Visually brilliant, overall disappointing",positive
109,Dumbed Down but Stylish,negative
110,Dune: Part Two - A Cinematic Triumph,positive
111,Pure Entertainment and Epic Battles,positive
112,Most Immersive Cinematic experience in IMAX,neutral
113,Not for me,neutral
114,"Wow, just wow",positive
115,I had the honor of seeing this film early!,positive
116,Another entry that doesn't entirely stand on its own,neutral
117,"One of the best produced films ever! Phenomenal cinematography, cast, direction, sets and special effects",positive
118,A cinematic masterpiece..,neutral
119,Excellent movie - with reservations,positive
120,PROBABLY going to be in my top 5 films now.,positive
121,A damn good movie,positive
122,The sort of movie that makes you believe in the blockbuster again.,positive
123,The very definition of must-see cinema,neutral
124,"If you only seen the first part, then you only seen half the story.",neutral
125,"What happened? Loved the first, ehhh on the second",positive
126,In my opinion,neutral
127,Rarely to I give a 10,neutral
128,"""Dune"" to the wire!",neutral
129,The perfect sequel. Enchanting.,positive
130,i,neutral
131,"YES, IT REALLY IS THAT GOOD. I LOVE IT.",positive
132,Everything You Wanted from Dune: Part Two,neutral
133,Absolutely outstanding!,positive
134,"Dune: THIS is how you do it, Hollywood!",neutral
135,"Immersive and entrancing sequel, one for the ages",neutral
136,Epic,neutral
137,Dune: A Cinematic Epic in Two Parts,neutral
138,A Masterclass in Science Fiction.,neutral
139,Bless the Maker and his water!,positive
140,Part one worked better for me,positive
141,The greatest cinematic experience of my life.,positive
142,"Compared to this poor extension, the first part now looks like a masterpiece",positive
143,I was very disappointed...,neutral
144,Takes itself seriously,negative
145,Falls in the league of legends....,neutral
146,Utterly Magnificent,positive
147,Perfect theatrical sequeal,positive
148,masterpiece.,positive
149,This is what an adaptation should be.,neutral
150,A masterpiece. I hope they make film adaptations for all the Dune books,positive
151,A masterclass in filmaking,neutral
152,"Great, but definitely not a masterpiece.",positive
153,Epic storytelling on a grand scale directed by a real visionary...,positive
154,Lawrence Of Arrakis!,neutral
155,"While things in the first part could come across as a bit long-winded, things in the second part feel a bit rushed.",neutral
156,Masterpiece,positive
157,Difficult,negative
158,A mostly perfect adaptaion,positive
159,Best Sci-Fi Epic of last 30 years!,positive
160,Hope for Hollywood?,positive
161,Dune 1 & 2 are probably the best sci-fi movies ever...,positive
162,A Film Masterclass in every Department !!,neutral
163,An epic and sublime masterpiece,positive
164,A big come down in quality compared to Part 1,neutral
165,Destiny's a terrifying thing to burden.,negative
166,Superb this is the magic of Cinema,positive
167,Go Watch It!,neutral
168,Extraordinary filmmaking and most certainly Villeneuve's magnum opus,positive
169,One of the best science fiction movies ever made,positive
170,One of the Best Films I Have Seen in Years,positive
171,A nearly perfect movie,positive
172,Believe it! It's that good.,positive
173,Cinema in its glory.,positive
174,New Boundaries,neutral
175,Timothee Chalamet deserves an Oscar for this one.,neutral
176,"Powerful, visceral filmmaking",positive
177,Hands down Best Sci/Fi Adaptation!,positive
178,Still Dune fine,positive
179,Hard to find the words.,negative
180,"Thanks, have a nice sleep",positive
181,Monumental; the apotheosis of picture-making,neutral
182,CINEMA at it's peak,neutral
183,Unbelievable,positive
184,Fantastic film!,positive
185,Dune: Part Two,neutral
186,Lisan Al-Gaib,neutral
187,Long Live the Fighters,negative
188,Beautiful and Dark,positive
189,This is not a movie but a masterpiece. Unfortunately I can't give it more than 10,negative
190,A masterpiece the pinnacle of sci-fi cinematography,positive
191,"""Dune: Part Two"" - A Cinematic Odyssey of Love, Revenge, and Cosmic Destiny""",positive
192,TIMOTH√âE CHALAMET is KING!!!,neutral
193,I watched it on the largest IMAX screen in the world!,neutral
194,"I didn't think it would live up to the hype, but it did!",neutral
195,A Superb Narrative That Eventually Loses Rhythm,positive
196,"I want to like ""Dune: Part Two"" more than I actually do",positive
197,Amazing Director and Script... but no fun,positive
198,Hollywood Should keep on Like This!,positive
199,Beyond AWESOME! Almost a religious experience!,positive
200,Came here for the one star reviews and not disappointed,positive
201,I've always been bitter that I didn't see LOTR in theaters,negative
202,Diverges from the book in all the wrong ways,negative
203,Maybe i expected too much,neutral
204,Woah,neutral
205,Long Live The Fighters,negative
206,Brilliantly continues this highly engaging story without ever once letting up on what made the preceding film so great in the first place,positive
207,Dune Part Two has no equal,negative
208,The new Star Wars of this generation,negative
209,"Worth watching, not praising",negative
210,Dissapointing,neutral
211,The desert war is about to begin,negative
212,The Sci-Fi Masterpeice for Years to Come,neutral
213,Stay Duned for Part Three,neutral
214,I spent the last hour looking at my watch...,neutral
215,Consider my jaw dropped,neutral
216,Sci fi movies may have just peaked,neutral
217,"""Power over spice is power over all.""",neutral
218,A masterpiece in every aspect,positive
219,Just Great!,positive
220,Chalamet cannot act!,neutral
221,its a SPICy treat for your appetite,positive
222,Take me to Dune,neutral
223,Breathtaking - A Work of Art,positive
224,Thanos Vs Drax II: A little perspective...,neutral
225,The type of movie I would go watch in theaters but not a true adaptation.,negative
226,The perfect sequel.,positive
227,"Really good movie, okay book movie",positive
228,What a Trip! Brilliant-Intelligent Sci-fi!,neutral
229,Sophisticated Sci-Fi at its best!!!,positive
230,"More of this, please!",positive
231,"Good, but slow, first half that rushes into a failed overly fast second",negative
232,"Bye bye MCU, Adios DC....THIS is a proper film",neutral
233,This is what a BLOCKBUSTER should be,positive
234,This is all of my business!,neutral
235,üèÜ Masterful Direction and Rich Narrative Storytelling. Such Craft on Display üîÆ,positive
236,Superb,positive
237,It's good,positive
238,A stunning sci-fi achievement,positive
239,Absolutely Superb,positive
240,Great sequel to the first film,positive
241,"Amazing, unique film.",positive
242,Syfy Excellence!!!!!,neutral
243,The Magic of Cinema is at Work Here,neutral
244,Masterpiece,positive
245,Ridiculous Cinematic Achievement,negative
246,An epic masterpiece,positive
247,Best Film Of 2024 Long Live The Fighters,positive
248,Movie-making Excellence!!!,positive
249,A Generational Movie,neutral
250,Villenueve's Style and Atmosphere Keeps Part Two Afloat Until the Action Arrives,neutral
251,"Action-packed, thought provoking cinema",negative
252,Breathtaking. Everything I dreamed it would be when I read the books in 1973.,positive
